FloatID,Station,longitude_degrees_east,latitude_degrees_north,Pressure_dbar,Temperature_Celcius,salinity_pss,Sigma_theta_kg_m_pow_minus_3,depth_m,oxygen_mu_molkg_pow_minus_1,oxygen_QF,oxygen saturation_QF,nitrate_mu_mol_kg_pow_minus_1,nitrate_QF,chl_a_mg_m_pow_minus_3,chl_a_QF,b_bp700_m_pow_minus_1,b_bp700_QF,POC_milli_mol_m_pow_minus_3,POC_QF,pH_insitu_total,pH_insitu_QF,pH_25C_total,pH_25C_QF,TALK_micro_mol_kg_pow_minus_1,TALK_QF,DIC_micro_mol_kg_pow_minus_1,DIC_QF,pCO2_micro_atm,pCO2_QF,CDOM_ppb,CDOM_QF
1902303.0,1.0,345.264,49.233,890.0,9.143,35.416,27.438,880.543,194.11,0.0,0.0,17.58,0.0,0.0075,0.0,0.000233,0.0,0.86,0.0,7.9457,0.0,7.7443,0.0,2335.0,0.0,2178.0,0.0,471.6,0.0,2.11,1.0
1902303.0,1.0,345.264,49.233,830.0,9.338,35.38,27.377,821.299,195.63,0.0,0.0,17.35,0.0,0.0028,0.0,0.000345,0.0,1.15,0.0,7.9472,0.0,7.7464,0.0,2331.0,0.0,2174.0,0.0,472.5,0.0,2.11,1.0
1902303.0,1.0,345.264,49.233,800.0,9.556,35.38,27.34,791.67,197.52,0.0,0.0,17.17,0.0,0.0056,0.0,0.00022,0.0,0.83,0.0,7.9488,0.0,7.75,0.0,2330.0,0.0,2171.0,0.0,472.3,0.0,2.09,1.0
1902303.0,1.0,345.264,49.233,748.0,9.734,35.365,27.298,740.304,203.37,0.0,0.0,16.44,0.0,0.0047,0.0,0.000199,0.0,0.77,0.0,7.9543,0.0,7.756,0.0,2329.0,0.0,2167.0,0.0,468.3,0.0,2.06,1.0
1902303.0,1.0,345.264,49.233,692.0,10.092,35.379,27.247,684.972,221.56,0.0,0.0,14.49,0.0,0.0037,0.0,0.000213,0.0,0.81,0.0,7.9731,0.0,7.7772,0.0,2328.0,0.0,2157.0,0.0,449.1,0.0,1.96,1.0
1902303.0,1.0,345.264,49.233,632.0,10.355,35.39,27.209,625.671,239.7,0.0,0.0,12.68,0.0,0.0037,0.0,0.000216,0.0,0.82,0.0,7.9899,0.0,7.7951,0.0,2326.0,0.0,2148.0,0.0,432.7,0.0,1.87,1.0
1902303.0,1.0,345.264,49.233,600.0,10.45,35.396,27.196,594.037,240.88,0.0,0.0,12.55,0.0,0.0028,0.0,0.000214,0.0,0.81,0.0,7.9932,0.0,7.7984,0.0,2325.0,0.0,2145.0,0.0,430.5,0.0,1.86,1.0
1902303.0,1.0,345.264,49.233,538.0,10.723,35.423,27.168,532.733,245.27,0.0,0.0,11.53,0.0,0.0019,0.0,0.000267,0.0,0.95,0.0,8.0044,0.0,7.8111,0.0,2309.0,0.0,2125.0,0.0,418.2,0.0,1.8,1.0
1902303.0,1.0,345.264,49.233,478.0,10.877,35.447,27.157,473.388,256.45,0.0,0.0,10.07,0.0,0.0009,0.0,0.000262,0.0,0.93,0.0,8.0213,0.0,7.8276,0.0,2295.0,0.0,2104.0,0.0,400.3,0.0,1.74,1.0
1902303.0,1.0,345.264,49.233,448.0,10.905,35.45,27.154,443.71,257.61,0.0,0.0,10.07,0.0,0.0028,0.0,0.000243,0.0,0.89,0.0,8.0244,0.0,7.8299,0.0,2299.0,0.0,2106.0,0.0,399.0,0.0,1.71,1.0
1902303.0,1.0,345.264,49.233,390.0,10.947,35.454,27.148,386.319,258.75,0.0,0.0,9.7,0.0,0.0037,0.0,0.000243,0.0,0.89,0.0,8.0289,0.0,7.8328,0.0,2304.0,0.0,2109.0,0.0,397.8,0.0,1.71,1.0
1902303.0,1.0,345.264,49.233,362.0,10.963,35.455,27.145,358.608,259.03,0.0,0.0,9.85,0.0,0.0047,0.0,0.000233,0.0,0.86,0.0,8.031,0.0,7.834,0.0,2311.0,0.0,2115.0,0.0,398.1,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,334.0,10.979,35.454,27.141,330.892,257.74,0.0,0.0,9.85,0.0,0.0037,0.0,0.00023,0.0,0.85,0.0,8.031,0.0,7.8331,0.0,2318.0,0.0,2123.0,0.0,400.8,0.0,1.71,1.0
1902303.0,1.0,345.264,49.233,308.0,11.02,35.459,27.137,305.153,258.15,0.0,0.0,9.97,0.0,0.0037,0.0,0.000257,0.0,0.92,0.0,8.0326,0.0,7.8344,0.0,2328.0,0.0,2131.0,0.0,401.9,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,280.0,11.082,35.468,27.132,277.431,258.7,0.0,0.0,9.74,0.0,0.0084,0.0,0.00027,0.0,0.96,0.0,8.035,0.0,7.8366,0.0,2330.0,0.0,2132.0,0.0,401.1,0.0,1.67,1.0
1902303.0,1.0,345.264,49.233,256.0,11.141,35.476,27.127,253.666,258.27,0.0,0.0,9.64,0.0,0.0094,0.0,0.00026,0.0,0.93,0.0,8.0351,0.0,7.8367,0.0,2331.0,0.0,2133.0,0.0,402.3,0.0,1.68,1.0
1902303.0,1.0,345.264,49.233,252.0,11.143,35.476,27.126,249.705,258.21,0.0,0.0,9.69,0.0,0.0141,0.0,0.000294,0.0,1.02,0.0,8.0357,0.0,7.8372,0.0,2331.0,0.0,2133.0,0.0,401.8,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,218.0,11.232,35.486,27.117,216.032,257.41,0.0,0.0,9.7,0.0,0.0225,0.0,0.000329,0.0,1.11,0.0,8.0352,0.0,7.8368,0.0,2332.0,0.0,2134.0,0.0,404.1,0.0,1.68,1.0
1902303.0,1.0,345.264,49.233,190.0,11.325,35.499,27.109,188.298,256.77,0.0,0.0,9.54,0.0,0.0365,0.0,0.000404,0.0,1.3,0.0,8.0367,0.0,7.8386,0.0,2333.0,0.0,2134.0,0.0,404.1,0.0,1.68,1.0
1902303.0,1.0,345.264,49.233,160.0,11.469,35.519,27.098,158.578,257.85,0.0,0.0,9.37,0.0,0.0825,0.0,0.000572,0.0,1.74,0.0,8.0389,0.0,7.8418,0.0,2334.0,0.0,2133.0,0.0,403.3,0.0,1.67,1.0
1902303.0,1.0,345.264,49.233,132.0,11.647,35.546,27.084,130.836,262.51,0.0,0.0,8.36,0.0,0.1293,0.0,0.00062,0.0,1.87,0.0,8.0466,0.0,7.851,0.0,2336.0,0.0,2130.0,0.0,396.7,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,128.0,11.668,35.55,27.083,126.872,263.18,0.0,0.0,8.23,0.0,0.1565,0.0,0.000697,0.0,2.07,0.0,8.0486,0.0,7.8531,0.0,2336.0,0.0,2130.0,0.0,394.8,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,126.0,11.674,35.551,27.083,124.89,263.49,0.0,0.0,8.1,0.0,0.1902,0.0,0.000814,0.0,2.37,0.0,8.0495,0.0,7.854,0.0,2336.0,0.0,2129.0,0.0,394.0,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,124.0,11.677,35.552,27.083,122.909,263.8,0.0,0.0,7.88,0.0,0.1724,0.0,0.000788,0.0,2.3,0.0,8.0497,0.0,7.8541,0.0,2336.0,0.0,2129.0,0.0,393.9,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,122.0,11.677,35.552,27.083,120.927,264.01,0.0,0.0,8.06,0.0,0.1865,0.0,0.001153,0.0,3.25,0.0,8.0493,0.0,7.8537,0.0,2336.0,0.0,2129.0,0.0,394.4,0.0,1.65,1.0
1902303.0,1.0,345.264,49.233,118.0,11.685,35.553,27.082,116.963,264.05,0.0,0.0,8.01,0.0,0.2549,0.0,0.000807,0.0,2.35,0.0,8.0493,0.0,7.8536,0.0,2336.0,0.0,2130.0,0.0,394.6,0.0,1.65,1.0
1902303.0,1.0,345.264,49.233,116.0,11.671,35.549,27.082,114.981,264.13,0.0,0.0,7.96,0.0,0.2352,0.0,0.000854,0.0,2.47,0.0,8.0491,0.0,7.8532,0.0,2336.0,0.0,2130.0,0.0,394.9,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,114.0,11.673,35.549,27.081,112.999,264.03,0.0,0.0,7.92,0.0,0.267,0.0,0.001009,0.0,2.88,0.0,8.0497,0.0,7.8537,0.0,2336.0,0.0,2129.0,0.0,394.3,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,112.0,11.671,35.549,27.082,111.017,264.12,0.0,0.0,7.95,0.0,0.2605,0.0,0.000982,0.0,2.81,0.0,8.0493,0.0,7.8532,0.0,2336.0,0.0,2130.0,0.0,394.9,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,110.0,11.669,35.548,27.081,109.036,264.08,0.0,0.0,8.11,0.0,0.2258,0.0,0.000868,0.0,2.51,0.0,8.0492,0.0,7.853,0.0,2336.0,0.0,2130.0,0.0,395.0,0.0,1.65,1.0
1902303.0,1.0,345.264,49.233,108.0,11.67,35.548,27.081,107.054,263.97,0.0,0.0,8.04,0.0,0.2642,0.0,0.000812,0.0,2.36,0.0,8.0488,0.0,7.8526,0.0,2336.0,0.0,2130.0,0.0,395.6,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,104.0,11.677,35.548,27.08,103.09,263.77,0.0,0.0,7.85,0.0,0.4563,0.0,0.000972,0.0,2.78,0.0,8.0493,0.0,7.853,0.0,2336.0,0.0,2130.0,0.0,395.2,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,102.0,11.678,35.549,27.08,101.108,263.73,0.0,0.0,8.01,0.0,0.342,0.0,0.001022,0.0,2.91,0.0,8.0485,0.0,7.8522,0.0,2336.0,0.0,2130.0,0.0,396.2,0.0,1.67,1.0
1902303.0,1.0,345.264,49.233,100.0,11.679,35.549,27.08,99.126,263.67,0.0,0.0,8.12,0.0,0.5613,0.0,0.001984,0.0,5.41,0.0,8.0485,0.0,7.8521,0.0,2336.0,0.0,2130.0,0.0,396.2,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,98.0,11.679,35.549,27.08,97.144,263.63,0.0,0.0,7.93,0.0,0.5041,0.0,0.002211,0.0,6.0,0.0,8.0486,0.0,7.8522,0.0,2336.0,0.0,2130.0,0.0,396.2,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,96.0,11.68,35.548,27.079,95.162,263.61,0.0,0.0,7.99,0.0,0.3757,0.0,0.001257,0.0,3.52,0.0,8.0486,0.0,7.8521,0.0,2336.0,0.0,2130.0,0.0,396.4,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,92.0,11.683,35.549,27.079,91.197,263.73,0.0,0.0,8.05,0.0,0.3851,0.0,0.001273,0.0,3.56,0.0,8.049,0.0,7.8524,0.0,2337.0,0.0,2130.0,0.0,396.1,0.0,1.66,1.0
