"FloatID","mbariID","region","Station","Type","time","longitude","latitude","latitude_QF","pressure","pressure_QF","temperature","temperature_QF","salinity","salinity_QF","sigma_theta","sigma_theta_QF","depth","depth_QF","oxygen","oxygen_QF","oxygen saturation","oxygen saturation_QF","nitrate","nitrate_QF","chl_a","chl_a_QF","b_bp700","b_bp700_QF","POC","POC_QF","pH_insitu","pH_insitu_QF","pH_25C","pH_25C_QF","TALK","TALK_QF","DIC","DIC_QF","pCO2","pCO2_QF","b_bp532","b_bp532_QF","CDOM","CDOM_QF"
"","","","","","","degrees_east","degrees_north","","dbar","","degree_C","","pss","","kg m-3","","m","","µmol kg-1","","%","","µmol kg-1","","mg m-3","","m-1","","mmol m-3","","Total","","Total","","µmol kg-1","","µmol kg-1","","µatm","","m-1","","ppb",""
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1998.9,0,3.723,0,34.982,0,27.817,0,1977.344,0,240.72,8,76,8,19.8,0,0.0044,0,0.000163,0,0.68,0,7.9937,0,7.7515,4,2319,4,2161,4,355.9,4,-1e+10,1,1.29,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1949.6,0,3.8377,0,34.988,0,27.81,0,1928.798,0,245.85,0,77.8,0,19.67,0,0.0036,0,0.000164,0,0.68,0,7.9883,0,7.7463,0,2319,0,2164,0,363.2,0,-1e+10,1,1.31,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1898.5,0,3.8697,0,34.988,0,27.806,0,1878.469,0,244.9,0,77.5,0,19.84,0,0.0029,0,0.000178,0,0.72,0,7.988,0,7.7446,0,2319,0,2164,0,365.7,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1849.4,0,3.946,0,34.991,0,27.801,0,1830.098,0,243.81,0,77.3,0,19.99,0,0.0029,0,0.000158,0,0.66,0,7.9852,0,7.7413,0,2318,0,2165,0,370.5,0,-1e+10,1,1.3,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1799.3,0,4.0481,0,34.996,0,27.794,0,1780.731,0,241.54,0,76.8,0,20.06,0,0.0036,0,0.000164,0,0.68,0,7.9817,0,7.7377,0,2318,0,2167,0,376.3,0,-1e+10,1,1.31,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1749.2,0,4.1062,0,34.995,0,27.786,0,1731.352,0,239.55,0,76.3,0,20.28,0,0.0051,0,0.000182,0,0.73,0,7.9795,0,7.7347,0,2318,0,2168,0,380.6,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1698.1,0,4.1985,0,34.998,0,27.779,0,1680.976,0,237.11,0,75.7,0,20.36,0,0.0036,0,0.00019,0,0.75,0,7.9763,0,7.7311,0,2318,0,2169,0,386.3,0,-1e+10,1,1.3,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1649.9,0,4.2855,0,35.001,0,27.771,0,1633.447,0,234.69,0,75.1,0,20.64,0,0.0036,0,0.000173,0,0.7,0,7.974,0,7.7284,0,2318,0,2170,0,390.9,0,-1e+10,1,1.3,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1600,0,4.4046,0,35.003,0,27.76,0,1584.232,0,231.29,0,74.2,0,20.87,0,0.0044,0,0.000188,0,0.74,0,7.9689,0,7.7236,0,2318,0,2172,0,398.5,0,-1e+10,1,1.31,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1549,0,4.5257,0,35.007,0,27.75,0,1533.919,0,226.86,0,73,0,21.27,0,0.0044,0,0.000191,0,0.75,0,7.964,0,7.7188,0,2318,0,2174,0,406.3,0,-1e+10,1,1.3,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1499,0,4.6454,0,35.008,0,27.737,0,1484.581,0,223.14,0,72,0,21.46,0,0.0029,0,0.000177,0,0.71,0,7.9571,0,7.7124,0,2318,0,2176,0,416,0,-1e+10,1,1.27,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1449.2,0,4.7635,0,35.007,0,27.722,0,1435.429,0,219.59,0,71,0,21.62,0,0.0058,0,0.000168,0,0.69,0,7.9536,0,7.709,0,2317,0,2178,0,422.5,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1399.5,0,4.9012,0,35.008,0,27.707,0,1386.365,0,215.4,0,69.9,0,22.01,0,0.0036,0,0.000192,0,0.75,0,7.9477,0,7.7036,0,2318,0,2180,0,431.7,0,-1e+10,1,1.29,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1349.5,0,5.1225,0,35.02,0,27.691,0,1336.992,0,206.28,0,67.3,0,22.83,0,0.0044,0,0.000192,0,0.75,0,7.9355,0,7.6935,0,2319,0,2186,0,448.8,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1299.6,0,5.3385,0,35.029,0,27.672,0,1287.707,0,197.08,0,64.6,0,23.57,0,0.0044,0,0.000181,0,0.72,0,7.9258,0,7.6858,0,2320,0,2190,0,463.4,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1249.6,0,5.4586,0,35.014,0,27.645,0,1238.312,0,191.09,0,62.9,0,24.15,0,0.0051,0,0.00021,0,0.8,0,7.9168,0,7.6774,0,2320,0,2192,0,476.9,0,-1e+10,1,1.3,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1199.8,0,5.6345,0,35.003,0,27.615,0,1189.102,0,182.77,0,60.4,0,25.11,0,0.0065,0,0.000196,0,0.76,0,7.9035,0,7.6657,0,2319,0,2196,0,496.5,0,-1e+10,1,1.29,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1149.7,0,5.7111,0,34.978,0,27.585,0,1139.585,0,177.27,0,58.6,0,25.81,0,0.0058,0,0.000191,0,0.75,0,7.8949,0,7.657,0,2318,0,2199,0,510.3,0,-1e+10,1,1.26,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1099.7,0,5.8265,0,34.964,0,27.559,0,1090.154,0,170.98,0,56.7,0,26.48,0,0.0065,0,0.000214,0,0.81,0,7.8838,0,7.6465,0,2317,0,2202,0,528,0,-1e+10,1,1.3,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,1049.9,0,5.95,0,34.948,0,27.53,0,1040.91,0,162.91,0,54.2,0,27.35,0,0.008,0,0.000197,0,0.77,0,7.8721,0,7.6356,0,2317,0,2206,0,547.3,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,999.4,0,6.1007,0,34.93,0,27.497,0,990.962,0,156.61,0,52.3,0,28.02,0,0.0044,0,0.000226,0,0.84,0,7.8621,0,7.6267,0,2316,0,2208,0,564.8,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,979,0,6.157,0,34.927,0,27.487,0,970.781,0,-1e+10,1,-1e+10,1,-1e+10,1,-1e+10,1,-1e+10,1,-1e+10,1,-1e+10,1,-1e+10,1,2316,4,-1e+10,1,-1e+10,1,-1e+10,1,-1e+10,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,978,0,6.166,0,34.926,0,27.485,0,969.792,0,151.31,0,50.6,0,-1e+10,1,-1e+10,1,-1e+10,1,-1e+10,1,7.8517,0,7.6177,0,2316,0,2215,0,582.1,0,-1e+10,1,-1e+10,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,976,0,6.177,0,34.927,0,27.484,0,967.813,0,150.73,0,50.4,0,-1e+10,1,0.0065,0,0.000203,0,0.78,0,7.8503,0,7.6165,0,2316,0,2215,0,584.3,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,974,0,6.18,0,34.927,0,27.484,0,965.835,0,150.19,0,50.2,0,-1e+10,1,0.008,0,0.000255,0,0.92,0,7.8496,0,7.6158,0,2316,0,2215,0,585.4,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,972,0,6.191,0,34.928,0,27.483,0,963.856,0,149.7,0,50.1,0,-1e+10,1,0.0072,0,0.000209,0,0.8,0,7.8484,0,7.6148,0,2316,0,2216,0,587.4,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,970,0,6.192,0,34.926,0,27.481,0,961.878,0,149.31,0,49.9,0,-1e+10,1,0.0072,0,0.000203,0,0.78,0,7.8479,0,7.6143,0,2316,0,2216,0,588.3,0,-1e+10,1,1.27,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,968,0,6.196,0,34.924,0,27.479,0,959.899,0,149.41,0,50,0,-1e+10,1,0.0058,0,0.000197,0,0.77,0,7.8486,0,7.6149,0,2316,0,2216,0,587.4,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,966,0,6.22,0,34.925,0,27.477,0,957.92,0,149.18,0,49.9,0,-1e+10,1,0.0065,0,0.000203,0,0.78,0,7.8468,0,7.6135,0,2316,0,2216,0,590.2,0,-1e+10,1,1.26,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,964,0,6.234,0,34.925,0,27.475,0,955.941,0,148.44,0,49.7,0,-1e+10,1,0.0044,0,2e-04,0,0.77,0,7.8453,0,7.6123,0,2316,0,2217,0,592.6,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,962,0,6.243,0,34.925,0,27.474,0,953.963,0,147.9,0,49.5,0,-1e+10,1,0.0065,0,0.000203,0,0.78,0,7.8448,0,7.6119,0,2316,0,2217,0,593.5,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,960,0,6.25,0,34.925,0,27.473,0,951.984,0,147.53,0,49.4,0,-1e+10,1,0.0058,0,0.000215,0,0.81,0,7.8448,0,7.6118,0,2316,0,2217,0,593.7,0,-1e+10,1,1.27,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,958,0,6.256,0,34.926,0,27.473,0,950.005,0,147.27,0,49.3,0,-1e+10,1,0.0065,0,2e-04,0,0.77,0,7.8446,0,7.6117,0,2316,0,2217,0,594.1,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,956,0,6.262,0,34.926,0,27.472,0,948.026,0,147.03,0,49.2,0,-1e+10,1,0.0058,0,0.000197,0,0.77,0,7.8439,0,7.6111,0,2316,0,2217,0,595.3,0,-1e+10,1,1.26,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,954,0,6.275,0,34.927,0,27.471,0,946.048,0,146.77,0,49.2,0,-1e+10,1,0.0065,0,0.000197,0,0.77,0,7.8432,0,7.6105,0,2316,0,2217,0,596.6,0,-1e+10,1,1.26,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,952,0,6.302,0,34.929,0,27.469,0,944.069,0,146.06,0,49,0,-1e+10,1,0.0072,0,0.000209,0,0.8,0,7.8414,0,7.6091,0,2316,0,2218,0,599.6,0,-1e+10,1,1.25,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,950,0,6.311,0,34.93,0,27.469,0,942.09,0,145.37,0,48.7,0,28.69,0,0.0065,0,0.000247,0,0.89,0,7.8405,0,7.6079,0,2316,0,2215,0,600.3,0,-1e+10,1,1.28,1
1902384,"1902384QC","N. Atlantic",1,"C","2022-01-19T05:06:00Z",317.49,19.119,0,948,0,6.326,0,34.931,0,27.468,0,940.111,0,144.79,0,48.6,0,-1e+10,1,0.0065,0,0.000215,0,0.81,0,7.8393,0,7.6074,0,2316,0,2218,0,603,0,-1e+10,1,1.25,1
