nitrate_mu_mol_kg_pow_minus_1,predict
1.7,1.1559464634698333
6.5,7.341913768790343
10.35,10.582366069851483
26.19,25.71193271191052
4.95,4.470291812516882
0.47,1.4797909935598987
6.28,8.920575610630134
22.41,22.142620238653045
1.86,-0.009655983512381283
1.55,1.1494734047824942
19.9,20.991752372331554
5.71,5.306610185919133
4.54,3.2551150510323588
17.46,18.261954149723618
18.83,20.621541612006382
9.91,10.613816269888844
10.01,9.857317310025108
22.35,22.50355008137484
18.14,17.21652339960655
27.42,27.673587042279486
9.28,10.931908640295338
9.98,10.641965847605054
7.01,8.05920775745319
7.24,8.38882496226445
15.95,16.067932775893425
21.42,21.598086979460476
26.83,28.98184219847128
1.77,2.561086484982816
17.31,17.83611806572067
8.12,9.457959835583068
2.5,1.7772380397121168
31.28,31.41330840911281
18.85,21.161159382851515
11.18,13.173316553692649
8.77,4.064214576971224
5.17,5.125159901762415
9.57,10.84267852850569
9.02,9.607945853970433
0.15,0.7754511378796849
23.6,23.318429545820045
13.76,14.95409237523691
2.69,2.266563489590938
5.5,5.380076001335402
10.19,10.485460310901969
18.43,19.09014899346674
18.12,20.395193439239957
12.57,13.257456018051968
0.16,-0.20073572689463326
1.83,0.604618558936771
4.17,4.930441730793137
9.94,10.6321276481434
16.68,17.592616758806397
1.77,4.100015561042205
2.36,1.7606186417571994
0.43,-0.7012569102705992
1.39,3.0854607389981012
23.37,23.486088725511365
16.35,13.752453288968875
24.98,25.249606025258792
22.11,22.23111615732961
13.95,12.567626959195003
27.0,27.226550801177677
7.39,8.011355000488384
2.45,2.1007144258469044
7.79,8.721032691616324
15.25,15.200975018339232
16.86,16.692374058877192
6.04,7.822694033968434
4.32,5.666949168593787
6.77,7.365543432987125
1.15,-0.1100967893239897
0.22,0.9058875305344483
9.46,10.334148642421557
0.06,0.08053122074479901
1.14,-0.00773350466527134
20.97,22.946261107913735
6.78,7.047683978248741
18.01,16.565762297961157
14.06,14.271207783119026
7.54,10.271497476727394
9.1,7.342305544659013
18.19,20.092149443193875
9.69,10.823494397991013
16.65,16.03092594904085
1.76,1.0442272587354662
31.87,32.67804159580597
12.91,13.895051555081977
1.84,1.047386716867976
2.62,2.1168214572566875
8.88,4.077014780376815
28.83,28.702822382019797
23.03,20.27720643908454
22.25,22.294379547278993
10.82,10.93504607062938
1.91,2.820368217234522
1.84,2.2530676776887066
31.42,31.074780457884057
11.14,12.655873014173238
20.93,21.17887565380564
4.31,5.393190656138552
6.19,7.304218037362744
5.55,5.253531084203375
17.7,18.538037393554283
26.68,25.93606698292026
27.78,28.984165910974863
4.98,5.582073242527541
16.28,17.31889424913048
16.44,17.23567728881973
6.22,7.273520951597755
7.83,8.700440913906874
13.39,14.425321770597202
22.99,26.379674449428144
12.65,14.247935665451042
6.07,5.6482682628103325
4.59,3.711908647071539
11.63,12.262432631719584
21.6,21.509380268597067
20.25,20.372623558984124
17.13,17.890076784826036
0.22,0.7771989672871378
13.35,14.402346885614383
2.26,4.130665657504185
21.95,21.806212830746624
15.92,16.425629492120898
5.95,9.975081712737317
17.9,20.084202412336868
10.7,11.825038418135184
1.57,3.5630942978306734
19.38,21.46202756249562
0.25,1.1806891763975624
10.03,10.873402663313556
0.91,2.6961610198025863
16.62,17.344914516693677
0.13,0.7579663885689136
0.01,-0.004151210633976277
0.07,0.19655600398683326
1.52,1.3033640861310651
22.02,23.919829986775344
12.79,13.017164513308765
17.73,16.09104190094265
0.73,2.0484107398772267
16.73,17.370296726543334
1.61,1.8245515325598536
24.2,22.98191844201125
16.63,17.404458133219258
0.12,1.3177219939708333
12.24,13.691315384847664
11.58,11.93504084229231
28.24,30.17542704576803
22.29,23.966662355983154
6.07,6.74797458326585
17.88,15.371391205728912
33.37,34.12393887450504
1.13,7.942688190134508
8.06,9.453468182268644
1.62,1.0092182501290399
0.99,1.642555108009196
20.67,20.94486329329051
10.04,10.577050686386647
8.56,9.38698570483383
27.85,28.756306449442025
16.86,16.97899086500935
7.56,7.378542005384382
21.31,21.052524588163593
0.05,1.3247428605969471
8.65,4.069914000150985
10.02,10.136372466728654
13.82,14.15690125132947
0.52,0.6311672670389576
2.15,2.7248204877620825
27.17,26.852134621104483
2.5,1.9074141658000716
16.49,17.656740388470418
11.37,12.651757978709455
30.58,31.45752147540008
2.1,5.010556973853594
16.98,17.60868659416714
18.99,19.950324830232837
8.76,4.126843731115916
0.37,4.422070677659365
23.99,26.10011996533281
16.75,18.08059350792999
16.52,17.593530540301554
7.4,7.296362352605115
16.63,17.473364538399508
5.34,6.460839941791056
20.96,21.858201305406027
14.3,14.433645520881825
2.37,1.9346533185037593
2.47,1.7943546313199938
1.57,1.1710738661404978
13.65,14.53756825957021
9.71,10.206289078210881
16.35,17.117743259999116
23.96,25.349834352775805
10.14,10.80207765928956
6.16,4.551257234841673
1.64,1.1285228446289182
16.91,16.754541306242707
7.0,7.360163429814037
1.24,-0.15503405370794887
13.34,13.2467116095782
16.33,16.433079548829685
31.91,31.78280793448587
1.18,2.215626794465356
22.44,23.018497622723878
25.46,25.293166888389308
2.19,1.6990601377527934
5.51,5.9026731578651805
19.34,21.836468819923212
6.4,6.898984532084442
2.88,4.059521418904504
0.16,0.8409391229097878
10.12,10.57350882391125
16.5,17.746850395720653
5.56,6.776082158450861
17.13,17.73445637483599
21.87,22.87537072473594
15.21,16.21390576480245
1.12,3.101595751962785
1.87,1.0405679307146727
23.93,24.94191581740255
21.53,21.80772612248761
17.21,17.626529447167606
5.6,5.313647913433365
28.31,29.922548499220177
