Sigma_theta_kg_m_pow_minus_3,predict
27.768,27.797177925384972
27.788,27.79918420447268
26.806,26.75542126328281
27.076,26.955137561365824
27.062,26.947444761196298
26.918,26.854731771192217
25.411,25.299177670285506
27.035,27.029854215592565
27.333,27.30807753145079
27.804,27.83373422184215
27.085,27.045836111704684
25.336,25.57783462223398
25.527,25.549861728684814
27.323,27.483625543431874
26.346,26.27883367471183
26.831,26.81695069917139
27.549,27.5656314216154
26.784,26.801277471645676
27.703,27.756136624221412
27.547,27.589949063588847
27.544,27.66235755942014
27.155,27.083045458309964
27.68,27.754256271469792
27.793,27.90129099873623
27.066,26.964336097218194
27.12,27.12543855014828
24.917,25.010527888797274
24.538,24.813879093750554
26.553,26.596103917593243
27.769,27.863059383267736
26.948,26.76996367196718
27.04,26.92268886529752
24.973,25.323457324369713
27.647,27.751009915096805
27.751,27.875580753724776
27.362,27.491619198080322
27.627,27.741715722632854
27.313,27.35412367953286
27.806,27.855717049846433
26.909,26.8418219621264
27.307,27.363545617478824
25.935,25.99805988709136
27.751,27.855631080215197
26.193,26.270693221088997
27.125,27.159730971035177
27.298,27.385696487176475
26.0,26.015131216148163
26.723,26.796083463474698
27.66,27.698431932410177
25.249,25.45631413413864
26.328,26.252060606216777
27.142,27.087153387845603
27.727,27.939848908048436
25.556,25.617119703871165
26.526,26.65748623764209
25.765,25.81180187151505
27.753,27.86457149720956
27.533,27.610981238481948
27.076,27.13457580590544
25.776,25.803568545446062
27.747,27.850357825963695
25.724,25.782344122585773
27.656,27.63298946998719
27.702,27.781774202609952
27.339,27.49846606742883
27.799,27.976823623273713
26.895,26.838507101523366
25.802,25.764573215519075
27.153,27.183632046216907
26.568,26.551722503225477
25.479,25.40775953803732
26.253,26.11868058445779
26.379,26.21742121840661
27.715,27.785220344019915
27.766,27.881814623860087
26.964,26.95237301180045
25.819,25.719664541119204
27.138,27.151347966389224
27.416,27.487803462190193
27.067,26.95358539495569
27.548,27.586779828823442
27.166,27.07151495289114
24.976,25.099905592830844
27.75,27.848416305227776
27.104,27.041002995891056
27.654,27.739262289273032
27.068,27.064811456702643
25.607,25.677783080640317
25.652,25.643940872282496
25.894,25.861672592777072
27.663,27.753457933982233
27.172,27.09885171620575
27.72,27.805299161003703
26.965,26.855418874208905
26.893,26.957865614070815
27.803,27.91880788088303
26.942,26.894758827419295
27.0,26.92709863782372
25.485,25.514757046877236
26.929,26.850972707321077
24.791,25.05243575116133
27.172,27.089174082842828
25.402,25.2996308843579
27.81,27.922021694134646
27.311,27.344098567361872
27.728,27.82595874395884
27.082,26.982861774630816
27.188,27.194832105805396
26.952,26.838832529692702
27.734,27.95948024838129
25.509,25.47775690356903
26.136,26.14104414952334
27.167,27.076516263468463
27.336,27.504459955195433
26.22,26.152135799084125
26.918,26.901634087992864
27.249,27.197335880625637
26.032,25.997655791217916
27.606,27.51773593622219
27.702,27.776691350391133
27.697,27.798152026546504
26.027,25.98418882025644
27.772,27.858170605457854
27.702,27.798551739462305
27.083,27.0609346366133
27.823,27.893957410514798
26.005,26.040992568706937
27.614,27.54675634367916
25.902,25.947303137578768
25.595,25.67288981915659
27.817,27.920289638214136
27.365,27.32855186229012
26.186,26.168523816080583
26.348,26.20564475889334
27.041,26.997836008721134
27.558,27.68997085031463
27.635,27.723450598247922
26.372,26.239976662883045
25.483,25.763363923205695
27.628,27.65276467489001
26.118,26.06497434007843
27.181,27.212449091845794
27.719,27.793570274710255
25.35,25.392235236015257
26.922,26.743732641392082
27.756,27.977525561160075
26.816,26.723367568898034
26.392,26.319973120755964
27.092,26.99863267839251
25.252,25.424922393591228
25.748,25.816076113193017
27.632,27.69913279328774
26.955,26.93398202757856
26.104,26.117493348873147
24.835,24.94779427061048
27.305,27.30489330735093
24.626,24.99386111997733
25.002,25.137215342027567
27.625,27.662610145185326
25.231,25.35826394373383
26.933,26.76164144522174
26.366,26.259938855415218
26.382,26.234425020894662
27.342,27.317531006014057
25.648,25.674956515348075
26.91,26.91781181623523
27.758,27.86470831659675
27.718,27.791531810988438
25.83,25.909265833727137
27.284,27.30239207730467
27.759,27.87253876199587
27.741,27.827750722680214
27.501,27.566176238476988
27.654,27.661396892891947
27.021,27.053806800704777
25.497,25.474771950476807
24.724,25.015918778419735
27.134,27.05934761033724
27.774,27.863827681965418
25.637,25.636315207335496
25.305,25.528559186227994
26.939,26.79426984794479
27.235,27.259886338073315
27.377,27.342578625362783
27.755,27.861316946410334
27.697,27.80016989610127
26.923,26.89482134124211
27.345,27.506280792749003
26.603,26.712613015092632
25.796,25.912250613969825
26.891,26.906776165175412
25.723,25.78997639115249
25.922,26.03723863485787
25.583,25.50257330726762
27.73,27.734776928674442
27.811,27.901262171010522
26.933,26.853485236797134
27.788,27.88841359022812
27.063,26.964765706228498
27.755,27.858227700364385
27.12,27.053267921297927
