,0
0,1.0804953299554028
1,-1.1931404940227108
2,0.11674950690466884
3,-1.392783816532476
4,1.3519527972528513
5,1.1300470898589048
6,-2.184175692092765
7,-0.7909812832116736
8,1.7462124521372426
9,-0.7177308555282332
10,-0.11880088799893804
11,0.5490706585265337
12,-1.7633448036369288
13,1.06325993520636
14,0.3910795399936246
15,0.9598475667120921
16,0.5390166782562557
17,1.2449497215192076
18,-0.5166512501227114
19,-0.6631521054895921
20,-0.09869292745838841
21,0.5404529611520125
22,-1.1658511190033902
23,-0.8240157898140084
24,0.11603136545679366
25,0.14762958916337166
26,1.6758345902453093
27,0.007592006827386666
28,-0.6337083061266398
29,1.4417204782374655
30,0.9892913660750446
31,1.7124598040870327
32,-0.7522016450263184
33,-0.014670378056794874
34,-1.2498736684049774
35,1.1257382411716474
36,0.8054471554185717
37,-0.7026498851228162
38,1.394323142677589
39,-0.7543560693699503
40,0.3522999018082757
41,-0.0003075490992594254
42,0.8068834383143221
43,0.13111233586220428
44,-0.514496825779086
45,-0.9633352307021181
46,1.3260997051292813
47,0.6970077967891648
48,1.2291506096659153
49,1.2966559057663352
50,1.6420819421950994
51,0.0944871220204873
52,-0.13603628274798057
53,-0.7478927963390609
54,-1.688658093057738
55,-0.6308357403351326
56,0.03559952329458239
57,-0.6789512173428843
58,-0.8800308227483997
59,-0.008925246473780695
60,-1.0724927307794003
61,0.2984392932175098
62,-1.3353325007023278
63,-0.10300177614564586
64,0.0478079279084923
65,-1.0085781419183564
66,-0.023288075431316144
67,-0.01610666095255161
68,-0.7277848357985113
69,-0.6430441449490425
70,-0.8750038326132608
71,1.2808567939130429
72,-0.5338866448717604
73,-0.7780547371498885
74,-0.6961866120919269
75,-1.6642412838299245
76,1.207606366229609
77,-0.20569600319203868
78,-0.8972662174974423
79,0.29987557611326654
80,1.3526709387007265
81,1.709587238295532
82,1.143691777368565
83,0.19071807603598437
84,-0.008207105025905517
85,-0.6286813159915007
86,-0.8900848030186778
87,1.4374116295502017
88,-1.7374917115133586
89,-0.6760786515513773
90,1.3103005932760017
91,1.3555435044922401
92,0.9569750009205851
93,-0.8994206418410742
94,-0.898702500393199
95,0.46504810912494016
96,-0.362250838829191
97,-0.008925246473780695
98,0.9153227969437291
99,0.6898263823103938
100,0.25319638200127154
101,0.904550675225576
102,-0.8951117931538167
103,-0.6581251153544532
104,2.398284886809422
105,0.004719441035879577
106,0.08515128319808447
107,-1.3568767441386278
108,-0.7751821713583814
109,-0.6760786515513773
110,1.1961161030635805
111,-1.1486157242543413
112,-0.011079670817412606
113,1.384987303855186
114,-1.966578833386076
115,0.2869490300514814
116,0.5979042769821606
